Date_time,Date,Time,Temperature,Hi Temp,Low Temp,Out Hum,Dew Pt.,WindSpeed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,THW Index,THSW Index,Bar,Rain,Rain Rate,SolarRadiation,Solar Energy,Hi Solar Rad.,UV  Index,UV  Dose,Hi UV,Heat D-D,Cool D-D,In  Temp,In Hum,In Dew,In Heat,In EMC,In Air Density,ET ,Wind Samp,Wind Tx,ISS Recept,Arc. Int.
01-01-2024 01:30,01-01-2024,01:30,22.7,22.8,22.7,87,20.4,3.2,E,1.61,11.3,E,22.7,23.9,23.9,22.7,29.869,0,0,0,0,0,0,0,0,0,0.09,30.4,58,21.2,33.6,10.31,0.0707,0,702,1,100,30
01-01-2024 02:00,01-01-2024,02:00,22.6,22.7,22.5,87,20.3,4.8,NE,2.41,9.7,E,22.6,23.7,23.7,22.6,29.856,0,0,0,0,0,0,0,0,0,0.088,30.4,58,21.2,33.4,10.32,0.0707,0.001,702,1,100,30
01-01-2024 02:30,01-01-2024,02:30,22.4,22.6,22.4,87,20.2,4.8,NE,2.41,11.3,NE,22.4,23.6,23.6,22.4,29.846,0,0,0,0,0,0,0,0,0,0.086,30.3,58,21.1,33.3,10.32,0.0707,0,703,1,100,30
01-01-2024 03:00,01-01-2024,03:00,22.4,22.4,22.4,87,20.1,3.2,NE,1.61,9.7,NE,22.4,23.6,23.6,22.4,29.84,0,0,0,0,0,0,0,0,0,0.084,30.3,58,21.1,33.2,10.32,0.0707,0.001,702,1,100,30
01-01-2024 03:30,01-01-2024,03:30,22.4,22.4,22.4,87,20.2,4.8,NE,2.41,9.7,NE,22.4,23.6,23.6,22.4,29.839,0,0,0,0,0,0,0,0,0,0.086,30.2,58,21,33.1,10.32,0.0707,0,703,1,100,30
01-01-2024 04:00,01-01-2024,04:00,22.3,22.4,22.3,87,20.1,4.8,NE,2.41,9.7,NE,22.3,23.4,23.4,22.3,29.844,0,0,0,0,0,0,0,0,0,0.083,30.2,57,20.7,32.8,10.2,0.0708,0.001,702,1,100,30
01-01-2024 04:30,01-01-2024,04:30,22.3,22.3,22.3,87,20,3.2,NE,1.61,9.7,NE,22.3,23.4,23.4,22.2,29.851,0,0,0,0,0,0,0,0,0,0.082,30.1,57,20.7,32.7,10.2,0.0708,0,703,1,100,30
01-01-2024 05:00,01-01-2024,05:00,22.3,22.3,22.3,87,20,4.8,NE,2.41,11.3,NE,22.3,23.4,23.4,22.2,29.855,0,0,0,0,0,0,0,0,0,0.082,30,57,20.6,32.4,10.21,0.0708,0.001,702,1,100,30
01-01-2024 05:30,01-01-2024,05:30,22.2,22.3,22.2,87,20,4.8,NE,2.41,12.9,E,22.2,23.3,23.3,22.1,29.863,0,0,0,0,0,0,0,0,0,0.081,29.9,57,20.5,32.3,10.21,0.0709,0,703,1,100,30
01-01-2024 06:00,01-01-2024,06:00,22.1,22.2,22.1,87,19.8,4.8,NE,2.41,16.1,ENE,22.1,23.2,23.2,22,29.872,0,0,0,0,0,0,0,0,0,0.079,29.9,57,20.4,32.2,10.22,0.0709,0.001,702,1,100,30
01-01-2024 06:30,01-01-2024,06:30,22,22.1,22,87,19.7,4.8,NE,2.41,11.3,NE,22,23.1,23.1,21.9,29.885,0,0,0,0,0,0,0,0,0,0.076,29.8,57,20.4,32.1,10.22,0.071,0,703,1,100,30
01-01-2024 07:00,01-01-2024,07:00,22.1,22.1,22,87,19.8,6.4,NE,3.22,14.5,NE,22.1,23.2,23.2,22.2,29.9,0,0,15,0.65,39,0,0,0,0,0.079,29.8,56,20.1,31.8,10.04,0.071,0.001,702,1,100,30
01-01-2024 07:30,01-01-2024,07:30,22.6,22.6,22.1,86,20.1,4.8,NE,2.41,14.5,NE,22.6,23.7,23.7,25,29.917,0,0,72,3.1,114,3.7,0.28,5.7,0,0.088,29.8,56,20.1,31.8,10.04,0.0711,0,702,1,100,30
01-01-2024 08:00,01-01-2024,08:00,23.2,23.2,22.6,84,20.3,8,NE,4.02,16.1,NE,23.2,24.3,24.3,27.5,29.93,0,0,167,7.18,225,5.7,0.43,5.7,0,0.101,29.8,56,20.1,31.9,10.04,0.0711,0.003,703,1,100,30
01-01-2024 08:30,01-01-2024,08:30,24.1,24.1,23.2,83,21,8,NNE,4.02,19.3,NE,24.1,25.7,25.7,30.3,29.943,0,0,275,11.83,325,5.7,0.43,5.7,0,0.119,29.9,56,20.2,32.1,10.03,0.0711,0,702,1,100,30
01-01-2024 09:00,01-01-2024,09:00,24.9,24.9,24.1,79,21,8,NE,4.02,19.3,NNW,24.9,26.6,26.6,32,29.949,0,0,373,16.04,425,5.7,0.43,5.7,0,0.138,30,56,20.3,32.3,10.03,0.0711,0.009,703,1,100,30
01-01-2024 09:30,01-01-2024,09:30,25.6,25.6,24.9,77,21.3,9.7,NE,4.83,22.5,ESE,25.6,27.3,27.3,33.3,29.952,0,0,468,20.13,526,5.7,0.43,5.7,0,0.152,30.1,56,20.4,32.5,10.03,0.0711,0,702,1,100,30
01-01-2024 10:00,01-01-2024,10:00,26.5,26.6,25.6,74,21.5,9.7,NE,4.83,24.1,NE,26.5,28.3,28.3,34.7,29.952,0,0,565,24.3,612,5.7,0.43,5.7,0,0.17,30.2,55,20.2,32.5,9.82,0.0711,0.014,703,1,100,30
01-01-2024 10:30,01-01-2024,10:30,27.1,27.1,26.6,72,21.6,8,NNE,4.02,20.9,NNE,27.1,29.1,29.1,35.3,29.95,0,0,583,25.07,661,5.6,0.42,5.6,0,0.182,30.4,55,20.3,32.9,9.82,0.071,0,702,1,100,30
01-01-2024 11:00,01-01-2024,11:00,27.7,27.7,27.1,69,21.5,8,NE,4.02,19.3,NNE,27.7,29.8,29.8,36.4,29.936,0,0,699,30.06,761,5.6,0.42,5.6,0,0.194,30.5,55,20.4,33.1,9.81,0.0709,0.018,703,1,100,30
01-01-2024 11:30,01-01-2024,11:30,28.3,28.3,27.7,66,21.4,8,NE,4.02,20.9,NNW,28.3,30.7,30.7,37.2,29.921,0,0,760,32.68,800,5.6,0.42,5.6,0,0.208,30.6,55,20.5,33.3,9.81,0.0709,0,702,1,100,30
01-01-2024 12:00,01-01-2024,12:00,28.8,28.8,28.3,63,21.1,9.7,NNE,4.83,22.5,ENE,28.8,31.3,31.3,37.7,29.905,0,0,804,34.58,837,5.6,0.42,5.6,0,0.219,30.8,54,20.4,33.3,9.7,0.0708,0.022,703,1,100,30
01-01-2024 12:30,01-01-2024,12:30,29.3,29.3,28.8,61,21,6.4,ENE,3.22,17.7,E,29.3,31.8,31.8,38.4,29.89,0,0,723,31.09,853,5.6,0.42,5.6,0,0.228,30.9,54,20.5,33.4,9.7,0.0707,0,702,1,100,30
01-01-2024 13:00,01-01-2024,13:00,29.7,29.7,29.3,59,20.9,8,NE,4.02,17.7,NE,29.7,32.3,32.3,38.7,29.869,0,0,778,33.46,860,5.6,0.42,5.6,0,0.237,31,53,20.3,33.4,9.49,0.0707,0.021,703,1,100,30
01-01-2024 13:30,01-01-2024,13:30,29.9,30.1,29.7,59,21,6.4,ENE,3.22,20.9,ENE,29.9,32.6,32.6,38.9,29.847,0,0,761,32.73,840,5.6,0.42,5.6,0,0.241,31.2,52,20.2,33.6,9.35,0.0706,0,702,1,100,30
01-01-2024 14:00,01-01-2024,14:00,29.6,30.2,29.4,61,21.2,8,ENE,4.02,19.3,E,29.6,32.3,32.3,37.7,29.834,0,0,467,20.08,828,5.6,0.42,5.6,0,0.234,31.3,52,20.3,33.9,9.35,0.0705,0.018,702,1,100,30
01-01-2024 14:30,01-01-2024,14:30,30.2,30.2,29.6,59,21.3,8,E,4.02,24.1,SE,30.2,33.2,33.2,39.7,29.82,0,0,695,29.89,786,5.6,0.42,5.6,0,0.247,31.9,51,20.5,34.8,9.16,0.0703,0,703,1,100,30
01-01-2024 15:00,01-01-2024,15:00,30,30.2,29.9,61,21.7,8,E,4.02,20.9,E,30,33.3,33.3,39.4,29.816,0,0,502,21.59,626,5.6,0.42,5.6,0,0.243,32.1,51,20.6,35.1,9.16,0.0703,0.017,702,1,100,30
01-01-2024 15:30,01-01-2024,15:30,29.7,30.1,29.7,62,21.6,8,E,4.02,22.5,E,29.7,32.8,32.8,38.7,29.807,0,0,491,21.12,564,5.6,0.42,5.6,0,0.236,32.3,50,20.5,35.2,9.05,0.0702,0,703,1,100,30
01-01-2024 16:00,01-01-2024,16:00,29.7,29.8,29.5,61,21.3,9.7,E,4.83,22.5,SE,29.7,32.6,32.6,38.2,29.802,0,0,368,15.83,439,5.6,0.42,5.6,0,0.236,32.2,50,20.5,35.1,9.05,0.0702,0.014,703,1,100,30
01-01-2024 16:30,01-01-2024,16:30,29.3,29.7,29.3,65,22.1,8,E,4.02,19.3,ESE,29.3,32.6,32.6,37.5,29.807,0,0,288,12.39,341,5.6,0.42,5.6,0,0.229,32.1,50,20.3,34.8,9.05,0.0703,0,702,1,100,30
01-01-2024 17:00,01-01-2024,17:00,28.7,29.3,28.7,67,22,8,E,4.02,20.9,ESE,28.7,31.8,31.8,34.3,29.821,0,0,129,5.55,197,5.6,0.42,5.6,0,0.216,31.8,51,20.4,34.6,9.17,0.0704,0.008,702,1,100,30
01-01-2024 17:30,01-01-2024,17:30,28.2,28.7,28.2,70,22.2,8,E,4.02,19.3,E,28.2,31,31,30.8,29.83,0,0,67,2.88,77,4.6,0.34,5.6,0,0.205,31.6,51,20.2,34.2,9.17,0.0705,0,703,1,100,30
01-01-2024 18:00,01-01-2024,18:00,27.4,28.2,27.4,73,22.1,9.7,E,4.83,20.9,E,27.4,29.8,29.8,29,29.842,0,0,17,0.73,49,0,0,0,0,0.189,31.3,52,20.3,33.9,9.35,0.0705,0.003,702,1,100,30
01-01-2024 18:30,01-01-2024,18:30,26.8,27.4,26.8,75,22,9.7,E,4.83,20.9,ESE,26.8,28.9,28.9,27.9,29.848,0,0,0,0,0,0,0,0,0,0.176,31.2,53,20.5,33.7,9.49,0.0706,0,703,1,100,30
01-01-2024 19:00,01-01-2024,19:00,26.3,26.8,26.3,75,21.5,9.7,E,4.83,20.9,E,26.3,28.1,28.1,27.1,29.865,0,0,0,0,0,0,0,0,0,0.167,31.1,53,20.4,33.5,9.49,0.0706,0.002,702,1,100,30
